|||Sütunlar|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Satırlar|||Adana-1|Adıyaman-2|Afyonkarahisar-3|Aksaray-68|Amasya-5|Ankara-6|Antalya-7|Ardahan-75|Artvin-8|Aydın-9|Ağrı-4|Balıkesir-10|Bartın-74|Batman-72|Bayburt-69|Bilecik-11|Bingöl-12|Bitlis-13|Bolu-14|Burdur-15|Bursa-16|Denizli-20|Diyarbakır-21|Düzce-81|Edirne-22|Elazığ-23|Erzincan-24|Erzurum-25|Eskişehir-26|Gaziantep-27|Giresun-28|Gümüşhane-29|Hakkari-30|Hatay-31|Isparta-32|Iğdır-76|Kahramanmaraş-46|Karabük-78|Karaman-70|Kars-36|Kastamonu-37|Kayseri-38|Kilis-79|Kocaeli-41|Konya-42|Kütahya-43|Kırklareli-39|Kırıkkale-71|Kırşehir-40|Malatya-44|Manisa-45|Mardin-47|Mersin-33|Muğla-48|Muş-49|Nevşehir-50|Niğde-51|Ordu-52|Osmaniye-80|Rize-53|Sakarya-54|Samsun-55|Siirt-56|Sinop-57|Sivas-58|Tekirdağ-59|Tokat-60|Trabzon-61|Tunceli-62|Uşak-64|Van-65|Yalova-77|Yozgat-66|Zonguldak-67|Çanakkale-17|Çankırı-18|Çorum-19|İstanbul-34|İzmir-35|Şanlıurfa-63|Şırnak-73|
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
||2010|10041.0|3578.0|4032.0|2330.0|1257.0|17993.0|7574.0|541.0|459.0|3713.0|5350.0|3639.0|748.0|3373.0|422.0|720.0|1618.0|2706.0|874.0|928.0|10493.0|3621.0|10425.0|1403.0|1072.0|2377.0|782.0|4617.0|2213.0|12575.0|1369.0|537.0|1385.0|8499.0|1527.0|1253.0|6867.0|624.0|1089.0|2249.0|1344.0|6559.0|877.0|6869.0|11129.0|2378.0|881.0|1210.0|949.0|3176.0|5610.0|5230.0|7086.0|2723.0|3776.0|1374.0|2009.0|3117.0|2806.0|1025.0|3428.0|5281.0|2421.0|851.0|3218.0|3063.0|2946.0|2608.0|198.0|1495.0|8844.0|609.0|2583.0|2389.0|1271.0|756.0|2487.0|52061.0|12568.0|14671.0|3359.0|
||2011|9901.0|3313.0|3840.0|2286.0|1218.0|17645.0|7360.0|541.0|445.0|3591.0|5324.0|3607.0|685.0|3457.0|354.0|684.0|1547.0|2746.0|880.0|829.0|10216.0|3542.0|10901.0|1362.0|1076.0|2371.0|834.0|4378.0|2116.0|12479.0|1320.0|492.0|1387.0|8491.0|1438.0|1249.0|6633.0|631.0|1062.0|2154.0|1234.0|6415.0|821.0|6426.0|10640.0|2179.0|847.0|1058.0|821.0|2965.0|5408.0|5173.0|6842.0|2640.0|3705.0|1301.0|1818.0|2776.0|2536.0|949.0|3365.0|4906.0|2337.0|718.0|3043.0|3099.0|2530.0|2235.0|183.0|1344.0|8967.0|611.0|2401.0|2120.0|1258.0|745.0|2154.0|50593.0|12350.0|15403.0|3434.0|
||2012|9708.0|3302.0|3730.0|2063.0|1138.0|17172.0|7745.0|475.0|451.0|3730.0|5376.0|3358.0|576.0|3446.0|352.0|677.0|1431.0|2714.0|765.0|830.0|10313.0|3461.0|11274.0|1259.0|1004.0|2124.0|770.0|4392.0|2139.0|12767.0|1198.0|449.0|1486.0|8300.0|1377.0|1172.0|6223.0|554.0|1005.0|2122.0|1175.0|6091.0|810.0|6613.0|10580.0|2120.0|809.0|955.0|842.0|2845.0|5364.0|5524.0|6927.0|2714.0|3897.0|1299.0|1764.0|2740.0|2460.0|899.0|3273.0|4791.0|2321.0|710.0|2872.0|3155.0|2370.0|2118.0|188.0|1352.0|8816.0|579.0|2155.0|2045.0|1274.0|714.0|2183.0|50497.0|12429.0|15968.0|3566.0|
||2013|9591.0|3082.0|3394.0|2003.0|1113.0|17028.0|7371.0|440.0|434.0|3492.0|5280.0|3449.0|589.0|3482.0|334.0|682.0|1398.0|2670.0|838.0|813.0|9808.0|3188.0|10832.0|1344.0|1006.0|2008.0|706.0|4097.0|2042.0|12922.0|1137.0|468.0|1514.0|8259.0|1290.0|1183.0|6239.0|549.0|1014.0|2041.0|1071.0|6081.0|784.0|6391.0|10213.0|1934.0|789.0|913.0|773.0|2540.0|5264.0|5201.0|6588.0|2500.0|3545.0|1204.0|1705.0|2581.0|2343.0|860.0|3173.0|4566.0|2279.0|591.0|2567.0|3053.0|2278.0|1894.0|211.0|1296.0|9210.0|558.0|1945.0|1733.0|1206.0|659.0|2072.0|49583.0|11871.0|16229.0|3745.0|
||2014|9811.0|3211.0|3455.0|1902.0|989.0|16710.0|7513.0|479.0|371.0|3410.0|5387.0|3319.0|645.0|3709.0|307.0|632.0|1468.0|2702.0|792.0|837.0|9839.0|3228.0|11461.0|1232.0|931.0|2035.0|742.0|4102.0|2070.0|13380.0|1107.0|483.0|1579.0|8310.0|1232.0|1306.0|6106.0|511.0|974.0|1954.0|944.0|5936.0|843.0|6675.0|10111.0|1857.0|868.0|896.0|780.0|2522.0|5145.0|5599.0|6835.0|2514.0|3659.0|1239.0|1706.0|2503.0|2388.0|797.0|3288.0|4537.0|2460.0|629.0|2551.0|3307.0|2140.0|1821.0|216.0|1221.0|9434.0|596.0|1936.0|1669.0|1205.0|669.0|2003.0|49942.0|12181.0|17015.0|3945.0|
||2015|9600.0|3058.0|3354.0|1814.0|1002.0|16293.0|7510.0|420.0|369.0|3418.0|5024.0|3089.0|546.0|3493.0|293.0|652.0|1369.0|2579.0|751.0|737.0|9536.0|3136.0|11093.0|1179.0|979.0|1937.0|635.0|3817.0|1922.0|13110.0|1034.0|425.0|1376.0|8035.0|1211.0|1216.0|5827.0|482.0|968.0|1856.0|923.0|5634.0|797.0|6760.0|9762.0|1775.0|810.0|884.0|744.0|2488.0|4886.0|5586.0|6570.0|2434.0|3377.0|1108.0|1719.0|2370.0|2292.0|770.0|3273.0|4160.0|2379.0|527.0|2375.0|3390.0|1890.0|1810.0|255.0|1187.0|9003.0|634.0|1726.0|1454.0|1202.0|598.0|1726.0|48523.0|11565.0|16688.0|3913.0|
||2016|9196.0|2943.0|3268.0|1868.0|887.0|15474.0|7405.0|381.0|352.0|3365.0|4950.0|3085.0|499.0|3583.0|305.0|608.0|1368.0|2491.0|713.0|728.0|9604.0|3036.0|11276.0|1275.0|935.0|1814.0|702.0|3693.0|1985.0|13003.0|948.0|443.0|1401.0|7998.0|1126.0|1215.0|5629.0|460.0|968.0|1797.0|911.0|5502.0|839.0|6660.0|9733.0|1680.0|802.0|852.0|729.0|2340.0|4902.0|5421.0|6451.0|2304.0|3268.0|1096.0|1663.0|2329.0|2235.0|778.0|3186.0|4051.0|2394.0|513.0|2344.0|3394.0|1880.0|1741.0|215.0|1136.0|8907.0|674.0|1653.0|1351.0|1135.0|587.0|1689.0|46834.0|11226.0|17228.0|3291.0|
||2017|8947.0|2964.0|3105.0|1782.0|941.0|15226.0|6850.0|385.0|328.0|3357.0|4707.0|3023.0|485.0|3635.0|279.0|580.0|1336.0|2515.0|701.0|629.0|9081.0|3022.0|11164.0|1174.0|918.0|1836.0|621.0|3700.0|1901.0|12562.0|907.0|392.0|1345.0|7800.0|1192.0|1234.0|5606.0|504.0|914.0|1725.0|850.0|5176.0|868.0|6710.0|9555.0|1585.0|760.0|824.0|669.0|2317.0|4626.0|5374.0|6176.0|2297.0|3251.0|1101.0|1593.0|2188.0|2179.0|702.0|3220.0|3922.0|2352.0|520.0|2263.0|3542.0|1783.0|1656.0|199.0|1172.0|8549.0|635.0|1628.0|1318.0|1078.0|594.0|1570.0|44743.0|10829.0|17853.0|3596.0|
|Annenin yaş grubu:25-29|2009|11806.0|4248.0|3473.0|2244.0|1394.0|21945.0|10111.0|493.0|696.0|4140.0|4607.0|4055.0|784.0|4072.0|423.0|905.0|1685.0|2596.0|1273.0|1015.0|13922.0|4493.0|11747.0|1566.0|1355.0|3017.0|991.0|5004.0|3083.0|12527.0|1662.0|656.0|2020.0|8859.0|1959.0|1237.0|6712.0|933.0|1170.0|2000.0|1517.0|6863.0|803.0|9250.0|10760.0|2305.0|1196.0|1093.0|871.0|4067.0|6306.0|5548.0|8612.0|3494.0|3230.0|1288.0|1848.0|3323.0|2981.0|1569.0|4467.0|6061.0|2407.0|858.0|3144.0|3908.0|2837.0|3773.0|337.0|1476.0|8357.0|956.0|2374.0|3086.0|1879.0|772.0|2416.0|71115.0|17029.0|15758.0|4267.0|
||2010|11464.0|4106.0|3497.0|2116.0|1373.0|21941.0|9870.0|491.0|676.0|4171.0|4685.0|4228.0|748.0|3859.0|400.0|874.0|1578.0|2477.0|1239.0|960.0|13939.0|4269.0|11758.0|1550.0|1249.0|2898.0|1019.0|4854.0|3068.0|12544.0|1721.0|602.0|1884.0|8930.0|1792.0|1315.0|6679.0|870.0|1089.0|2021.0|1478.0|6725.0|835.0|9027.0|10862.0|2448.0|1174.0|1048.0|869.0|4062.0|6236.0|5619.0|8478.0|3588.0|3161.0|1263.0|1715.0|3173.0|2860.0|1443.0|4311.0|5664.0|2457.0|765.0|3096.0|3914.0|2769.0|3660.0|330.0|1500.0|8032.0|888.0|2205.0|2868.0|1804.0|775.0|2295.0|72057.0|16615.0|16040.0|3974.0|
